Latent Dim,Planes,Depth,Norm,Kernel Size,LR,Batch Size,Accuracy,Approximation Factor, Maximum Approximation Factor,Neibs
10,[16, 8],2,False,3,0.0001,64,0.18,1.0386319007676048,1.7525914631133557,0.379
10,[16, 32],2,False,3,0.0001,64,0.23,1.027382420075856,2.1727286237423744,0.458
10,[32, 16],2,False,3,0.0001,64,0.22,1.0310022106425585,2.0277049507165064,0.453
16,[16, 8],2,False,3,0.0001,64,0.33,1.0198550554013766,1.9521581145013063,0.537
16,[16, 32],2,False,3,0.0001,64,0.38,1.0200432539707298,1.9521581145013063,0.555
16,[32, 16],2,False,3,0.0001,64,0.36,1.0198040024535577,1.6818435072937998,0.561
22,[16, 8],2,False,3,0.0001,64,0.41,1.0202871032813587,2.0421062659020315,0.596
22,[16, 32],2,False,3,0.0001,64,0.43,1.0201075962846933,2.147756320223861,0.606
22,[32, 16],2,False,3,0.0001,64,0.42,1.0157318286927985,2.1727286237423744,0.597
10,[16, 8],2,False,5,0.0001,64,0.11,1.051108905034665,1.8761546478751177,0.256
10,[16, 32],2,False,5,0.0001,64,0.27,1.027204152213836,2.0476719746306378,0.432
10,[32, 16],2,False,5,0.0001,64,0.19,1.0283032680379387,1.8368961192430453,0.451
16,[16, 8],2,False,5,0.0001,64,0.28,1.0214251226959419,2.147756320223861,0.52
16,[16, 32],2,False,5,0.0001,64,0.41,1.0290323798062708,2.0421062659020315,0.491
16,[32, 16],2,False,5,0.0001,64,0.36,1.0168162266273357,2.0658501594755108,0.568
22,[16, 8],2,False,5,0.0001,64,0.45,1.0191941034765495,2.0277049507165064,0.592
22,[16, 32],2,False,5,0.0001,64,0.45,1.0217830120002618,2.1727286237423744,0.586
22,[32, 16],2,False,5,0.0001,64,0.46,1.0179691495811969,2.1727286237423744,0.583
10,[16, 8],2,False,3,0.0001,128,0.15,1.0385748883111336,2.147756320223861,0.393
10,[16, 32],2,False,3,0.0001,128,0.25,1.0325930977117077,1.6668131765401455,0.42
10,[32, 16],2,False,3,0.0001,128,0.23,1.0376759468582963,2.147756320223861,0.412
16,[16, 8],2,False,3,0.0001,128,0.24,1.0218829343179086,1.9623570821158387,0.488
16,[16, 32],2,False,3,0.0001,128,0.37,1.0239715405069623,1.635375745163261,0.544
16,[32, 16],2,False,3,0.0001,128,0.39,1.020351391791918,1.9592659528386656,0.58
22,[16, 8],2,False,3,0.0001,128,0.35,1.0237109136070561,1.9521581145013063,0.571
22,[16, 32],2,False,3,0.0001,128,0.44,1.021194104348034,2.0658501594755108,0.601
22,[32, 16],2,False,3,0.0001,128,0.38,1.0180234726331199,2.147756320223861,0.613
10,[16, 8],2,False,5,0.0001,128,0.17,1.0413800669137276,2.147756320223861,0.366
10,[16, 32],2,False,5,0.0001,128,0.26,1.0378325761040201,2.147756320223861,0.385
10,[32, 16],2,False,5,0.0001,128,0.17,1.0340636334945894,2.0658501594755108,0.427
16,[16, 8],2,False,5,0.0001,128,0.32,1.0273533035303561,2.147756320223861,0.503
16,[16, 32],2,False,5,0.0001,128,0.37,1.0228833704957885,1.9521581145013063,0.578
16,[32, 16],2,False,5,0.0001,128,0.3,1.0217358107052072,2.147756320223861,0.522
22,[16, 8],2,False,5,0.0001,128,0.39,1.0219540101453057,2.1727286237423744,0.562
22,[16, 32],2,False,5,0.0001,128,0.47,1.0185690277937844,2.0143041259192525,0.565
22,[32, 16],2,False,5,0.0001,128,0.46,1.018366928934889,2.0143041259192525,0.562
10,[32, 16, 8],3,False,3,0.0001,64,0.21,1.037738423590957,1.8142978077522791,0.303
10,[16, 32, 48],3,False,3,0.0001,64,0.17,1.03569765467545,1.8547377090416945,0.326
10,[48, 32, 16],3,False,3,0.0001,64,0.31,1.027922280107386,2.1287281144520285,0.379
16,[32, 16, 8],3,False,3,0.0001,64,0.31,1.0286513640276365,2.0143041259192525,0.431
16,[16, 32, 48],3,False,3,0.0001,64,0.45,1.0208978231243586,2.0143041259192525,0.504
16,[48, 32, 16],3,False,3,0.0001,64,0.38,1.0230304521274456,1.9161734551052008,0.447
22,[32, 16, 8],3,False,3,0.0001,64,0.42,1.0202439310912954,1.7881245893444189,0.492
22,[16, 32, 48],3,False,3,0.0001,64,0.46,1.016949043961618,2.0006355570798475,0.533
22,[48, 32, 16],3,False,3,0.0001,64,0.42,1.0170899726772682,1.926142704817156,0.54
10,[32, 16, 8],3,False,5,0.0001,64,0.09,1.0542852672615772,1.7808241047978943,0.211
10,[16, 32, 48],3,False,5,0.0001,64,0.23,1.037116499036355,2.1287281144520285,0.349
10,[48, 32, 16],3,False,5,0.0001,64,0.27,1.0284021241790224,1.8431891917951457,0.361
16,[32, 16, 8],3,False,5,0.0001,64,0.35,1.020994369652953,1.7552438160642498,0.444
16,[16, 32, 48],3,False,5,0.0001,64,0.33,1.0294315652386052,1.9511928782608892,0.45
16,[48, 32, 16],3,False,5,0.0001,64,0.35,1.028376291941462,1.8611428979291063,0.436
22,[32, 16, 8],3,False,5,0.0001,64,0.38,1.0206106302461078,1.761565203081924,0.485
22,[16, 32, 48],3,False,5,0.0001,64,0.44,1.0215558994685783,1.8201994647561757,0.527
22,[48, 32, 16],3,False,5,0.0001,64,0.5,1.0237963187330479,1.9206261635190072,0.498
10,[32, 16, 8],3,False,3,0.0001,128,0.15,1.0412436392874482,1.8142978077522791,0.301
10,[16, 32, 48],3,False,3,0.0001,128,0.27,1.035160749231587,2.0006355570798475,0.346
10,[48, 32, 16],3,False,3,0.0001,128,0.16,1.040975260253569,1.8431891917951457,0.296
16,[32, 16, 8],3,False,3,0.0001,128,0.3,1.0294498329188435,2.050120473782317,0.403
16,[16, 32, 48],3,False,3,0.0001,128,0.35,1.01987664704046,1.9206261635190072,0.448
16,[48, 32, 16],3,False,3,0.0001,128,0.4,1.0234604127072384,2.0287652831492644,0.467
22,[32, 16, 8],3,False,3,0.0001,128,0.44,1.0236444322672074,1.9161734551052008,0.481
22,[16, 32, 48],3,False,3,0.0001,128,0.4,1.0204714682018003,1.7305202760246292,0.506
22,[48, 32, 16],3,False,3,0.0001,128,0.38,1.0194444145967578,1.8532747895303743,0.499
10,[32, 16, 8],3,False,5,0.0001,128,0.07,1.0449496803622738,1.894088852601309,0.248
10,[16, 32, 48],3,False,5,0.0001,128,0.17,1.047751645978311,1.9135723398308262,0.246
10,[48, 32, 16],3,False,5,0.0001,128,0.17,1.0332004908974632,1.9206261635190072,0.31
16,[32, 16, 8],3,False,5,0.0001,128,0.31,1.026996296129808,1.7867864191809295,0.41
16,[16, 32, 48],3,False,5,0.0001,128,0.34,1.0274489510502054,2.01583595090216,0.397
16,[48, 32, 16],3,False,5,0.0001,128,0.36,1.0298275777312247,1.9206261635190072,0.457
22,[32, 16, 8],3,False,5,0.0001,128,0.38,1.0196665856725498,1.8941525274362465,0.475
22,[16, 32, 48],3,False,5,0.0001,128,0.43,1.0225012770257862,2.0143041259192525,0.499
22,[48, 32, 16],3,False,5,0.0001,128,0.38,1.0208162159139358,1.8479979671568545,0.514
